bin,lower,upper,n,mean_predicted,observed_rate,n_goals,gap
0,0.009822353324546602,0.01868585766068412,564,0.015470375049195222,0.0070921985815602835,4,-0.008378176467634939
1,0.01868585766068412,0.027809369259849826,564,0.023375459331888934,0.014184397163120567,8,-0.009191062168768367
2,0.027809369259849826,0.03628849231382953,564,0.032004906779252405,0.02304964539007092,13,-0.008955261389181485
3,0.03628849231382953,0.04795631438707861,564,0.04185375541896721,0.03546099290780142,20,-0.0063927625111657865
4,0.04795631438707861,0.06033506094334565,563,0.05404186846827807,0.055062166962699825,31,0.0010202984944217564
5,0.06033506094334565,0.07428904257999105,564,0.06726711981239764,0.05319148936170213,30,-0.014075630450695507
6,0.07428904257999105,0.10288200365496983,564,0.08810632156598511,0.0797872340425532,45,-0.008319087523431912
7,0.10288200365496983,0.1463842762463679,564,0.12363807468906576,0.13297872340425532,75,0.009340648715189553
8,0.1463842762463679,0.20813924380301954,564,0.17157575847079337,0.19326241134751773,109,0.02168665287672436
9,0.20813924380301954,0.6649646280192364,564,0.3135866901608638,0.3546099290780142,200,0.04102323891715037
