bin,lower,upper,n,mean_predicted,observed_rate,n_goals,gap
0,0.003634456312179832,0.01431827373240281,564,0.009572511414288063,0.008865248226950355,5,-0.0007072631873377075
1,0.01431827373240281,0.02238938134271121,564,0.018715743983669042,0.015957446808510637,9,-0.002758297175158405
2,0.02238938134271121,0.02976805667835064,564,0.02612139814636264,0.01773049645390071,10,-0.00839090169246193
3,0.02976805667835064,0.03915892158385579,564,0.03418512944188574,0.02127659574468085,12,-0.012908533697204887
4,0.03915892158385579,0.0522677255503289,563,0.045336463353638425,0.03197158081705151,18,-0.013364882536586915
5,0.0522677255503289,0.06846472862621326,564,0.05987628667824309,0.04609929078014184,26,-0.013776995898101246
6,0.06846472862621326,0.09133065976788024,564,0.07908948358796951,0.08865248226950355,50,0.00956299868153404
7,0.09133065976788024,0.13613693790230602,564,0.11041034245175628,0.11702127659574468,66,0.006610934143988403
8,0.13613693790230602,0.236392863182948,564,0.18032289985271566,0.20921985815602837,118,0.02889695830331271
9,0.236392863182948,0.8876057485472919,564,0.3738042554037398,0.39184397163120566,221,0.018039716227465863
