bin,lower,upper,n,mean_predicted,observed_rate,n_goals,gap
0,0.004550100156119378,0.013884776617341827,564,0.009459477862968708,0.0070921985815602835,4,-0.0023672792814084243
1,0.013884776617341827,0.02312958236761921,564,0.018807467443630956,0.015957446808510637,9,-0.002850020635120319
2,0.02312958236761921,0.030467868434436156,564,0.0268796372351687,0.024822695035460994,14,-0.0020569421997077043
3,0.030467868434436156,0.039227329046354766,564,0.03459115690258964,0.02127659574468085,12,-0.01331456115790879
4,0.039227329046354766,0.05190704402288012,563,0.04524018475680718,0.023090586145648313,13,-0.02214959861115887
5,0.05190704402288012,0.0681811512369811,564,0.05961654274737512,0.05851063829787234,33,-0.00110590444950278
6,0.0681811512369811,0.09081185267516712,564,0.07834505374150136,0.06205673758865248,35,-0.016288316152848877
7,0.09081185267516712,0.13669299513709257,564,0.11099829992659863,0.1347517730496454,76,0.023753473123046764
8,0.13669299513709257,0.2355202035959564,564,0.18082332297026096,0.21453900709219859,121,0.03371568412193762
9,0.2355202035959564,0.8814620397524515,564,0.3710427556882708,0.38652482269503546,218,0.015482067006764688
